city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
Holambra,32588,Brazil,auto_econom,0,1,0,,0
Funes,22854,Colombia,auto_econom,0,1,0,,0
Trancoso,24609,Mexico,auto_econom,0,1,0,,0
Buritirama,21638,Brazil,auto_econom,0,1,0,,0
Itabaianinha,21931,Brazil,auto_econom,0,1,0,,0
Santo Amaro,22387,Brazil,auto_econom,0,1,0,,0
Juquiá,22010,Brazil,auto_econom,0,1,0,,0
Chã Grande,32239,Brazil,auto_econom,0,1,0,,0
Trujillo,23233,Colombia,auto_econom,0,1,0,,0
Coronel Sapucaia,43534,Brazil,auto_econom,0,1,0,,0
Chignahuapan,24970,Mexico,auto_econom,0,1,0,,0
Nova Alvorada do Sul,43536,Brazil,auto_econom,0,1,0,,0
Lajedo,22022,Brazil,auto_econom,0,1,0,,0
Nazare Paulista,38246,Brazil,auto_econom,0,1,0,,0
Ayutla,24515,Mexico,auto_econom,0,1,0,,0
Guaiúba,21861,Brazil,auto_econom,0,1,0,,0
Vergara,22873,Colombia,auto_econom,0,1,0,,0
Janakpur,5954,Nepal,moto_econom,12,102,0.225,1.124,0.118
El Arenal,24105,Mexico,auto_econom,0,1,0,,0
General Felipe angeles,24696,Mexico,auto_econom,0,1,0,,0
Nazaré,22135,Brazil,auto_econom,0,1,0,,0
Colón (Génova),42810,Colombia,auto_econom,0,1,0,,0
Sativasur,22602,Colombia,auto_econom,0,1,0,,0
Tlachichuca,24827,Mexico,auto_econom,0,1,0,,0
Camocim de São Félix,32563,Brazil,auto_econom,0,1,0,,0
Актобе,213,Казахстан,6-seater XL,35,298,0.149,1.087,0.117
Itaí,21937,Brazil,auto_econom,0,1,0,,0
El Naranjo,24726,Mexico,auto_econom,0,1,0,,0
Santana,22893,Colombia,auto_econom,0,1,0,,0
Sao Joao do Araguaia,38234,Brazil,auto_econom,0,1,0,,0
Pombos,22274,Brazil,auto_econom,0,1,0,,0
Pompéia,32223,Brazil,auto_econom,0,1,0,,0
Supatá,22754,Colombia,auto_econom,0,1,0,,0
Urupês,32531,Brazil,auto_econom,0,1,0,,0
San Joaquín,22653,Colombia,auto_econom,0,1,0,,0
Cerro de San Antonio,22922,Colombia,auto_econom,0,1,0,,0
Altamira,22700,Colombia,auto_econom,0,1,0,,0
Santa Rosalia,24423,Mexico,auto_econom,0,1,0,,0
Bahía Solano (Mutis),42820,Colombia,auto_econom,0,1,0,,0
Frontera Corozal,24257,Mexico,auto_econom,0,1,0,,0
Penang (all cities),5916,Malaysia,6-seater XL,440,3911,0.254,1.185,0.113
Tietê,22518,Brazil,auto_econom,0,1,0,,0
